ID,ChoiceNum,ProjID,Gender,Grade,Score,
141,1,3,F,2022,645,
49,1,3,F,2019,1000,
130,1,3,F,2021,662,
304,1,3,M,2020,488,
436,1,3,F,2022,708,
383,1,3,M,2021,521,
183,8,3,M,2020,387,
463,1,5,F,2022,300,
5,2,5,F,2019,300,
195,2,5,F,2019,600,
232,3,5,F,2021,388,
199,2,5,M,2019,400,
455,1,7,F,2022,1070,
423,1,7,F,2022,548,
481,1,7,F,2022,512,
287,1,7,M,2019,600,
101,1,7,F,2020,579,
163,1,7,F,2022,440,
19,2,7,F,2019,400,
257,1,7,M,2019,600,
461,1,7,M,2022,745,
345,2,7,M,2022,664,
104,5,7,F,2021,446,
159,3,7,M,2022,414,
454,1,11,M,2022,885,
286,1,11,M,2019,300,
4,1,11,M,2019,300,
167,1,11,M,2022,196,
349,3,11,M,2020,378,
126,2,11,F,2021,374,
447,2,11,M,2022,546,
162,1,11,M,2022,457,
357,2,11,F,2020,605,
424,5,11,M,2022,256,
300,2,11,M,2019,400,
155,7,11,M,2022,294,
396,1,13,F,2021,593,
293,1,13,M,2019,300,
433,1,13,M,2022,515,
90,3,13,M,2021,350,
421,5,13,M,2022,340,
276,1,17,M,2019,1100,
223,1,17,M,2019,800,
2,1,17,F,2019,1000,
272,1,17,F,2019,800,
208,1,17,F,2019,500,
61,1,17,F,2020,443,
179,1,17,F,2022,729,
171,1,17,F,2022,433,
211,2,17,M,2020,521,
158,1,17,F,2022,700,
289,1,17,M,2019,500,
173,2,17,F,2022,533,
299,2,17,M,2019,600,
480,2,17,F,2022,443,
418,2,17,M,2022,616,
197,2,17,F,2019,500,
348,1,19,M,2020,544,
40,2,19,M,2019,600,
267,3,19,F,2019,400,
154,4,19,F,2022,370,
149,4,19,F,2022,380,
255,4,19,M,2019,300,
281,2,19,M,2019,400,
233,3,19,F,2019,300,
284,1,23,M,2019,800,
295,1,23,M,2019,1000,
344,1,23,M,2020,452,
31,1,23,F,2019,400,
297,1,23,F,2019,600,
228,1,23,F,2020,882,
343,1,23,M,2020,832,
24,1,23,M,2019,600,
210,1,23,M,2019,500,
252,1,23,M,2019,800,
326,1,23,M,2020,750,
54,4,23,F,2019,300,
21,2,23,F,2019,500,
202,2,23,M,2019,600,
365,5,23,F,2021,413,
115,3,23,M,2021,420,
37,1,29,F,2019,300,
472,1,29,M,2022,554,
303,1,29,M,2020,716,
379,1,29,F,2021,668,
451,2,29,M,2022,314,
60,1,29,M,2020,734,
160,1,29,F,2022,659,
42,2,29,F,2019,400,
368,3,29,M,2021,268,
174,2,29,M,2022,364,
176,1,31,F,2022,346,
56,2,31,M,2020,532,
172,1,31,M,2022,862,
114,1,31,M,2021,477,
48,3,31,M,2020,445,
156,7,31,F,2022,289,
351,4,31,M,2020,344,
182,1,37,M,2021,627,
181,1,37,F,2022,856,
459,1,37,F,2022,956,
254,1,37,F,2019,900,
198,3,37,M,2020,339,
261,2,37,F,2022,533,
266,1,37,F,2019,400,
224,2,37,M,2019,300,
102,1,37,F,2020,519,
325,4,37,M,2020,422,
362,1,37,M,2022,633,
80,5,37,F,2020,435,
36,1,41,F,2019,900,
153,1,41,M,2022,682,
151,1,41,F,2022,790,
367,1,41,M,2021,792,
45,1,41,M,2019,1000,
238,1,41,F,2022,679,
1,1,41,M,2019,700,
476,1,41,F,2022,849,
207,1,41,M,2020,720,
288,1,41,M,2019,800,
28,1,41,F,2019,800,
274,1,41,F,2019,1100,
52,1,41,M,2019,900,
22,1,41,F,2019,1000,
363,1,41,F,2021,739,
341,1,41,F,2020,1079,
116,1,43,F,2021,741,
437,1,43,M,2022,561,
316,1,43,F,2020,756,
323,1,43,F,2020,520,
216,1,43,F,2020,750,
117,1,43,F,2021,811,
263,1,43,F,2019,1000,
355,1,43,F,2020,758,
47,1,43,M,2020,1065,
333,1,43,M,2020,683,
33,3,43,M,2019,500,
20,1,43,M,2019,800,
256,3,43,F,2019,600,
14,2,43,F,2019,600,
81,1,43,M,2020,735,
67,1,43,F,2020,596,
88,1,47,M,2020,494,
30,1,47,F,2019,500,
242,1,47,F,2021,574,
319,1,47,F,2020,826,
100,1,47,F,2021,692,
335,1,47,F,2020,590,
321,1,47,M,2020,802,
408,1,47,F,2021,513,
359,2,47,F,2020,468,
43,1,47,F,2019,500,
96,1,47,F,2020,506,
59,1,47,M,2020,702,
314,1,47,F,2020,552,
120,2,47,F,2021,578,
74,2,47,F,2020,605,
98,3,47,M,2021,464,
95,2,47,F,2020,632,
417,1,53,F,2022,652,
292,1,53,M,2019,700,
234,2,53,M,2020,599,
412,1,53,F,2021,721,
200,2,53,M,2019,400,
239,3,53,F,2020,615,
125,1,53,M,2021,503,
194,1,59,F,2022,848,
13,1,59,F,2019,700,
89,1,59,F,2020,676,
322,1,59,F,2020,727,
68,1,59,F,2020,822,
191,1,59,F,2020,898,
264,1,59,F,2019,900,
251,1,59,F,2019,800,
246,1,59,M,2020,896,
231,1,59,M,2021,634,
118,1,59,F,2021,675,
129,1,59,F,2021,754,
358,1,59,F,2020,784,
327,1,59,F,2020,911,
217,1,59,F,2020,687,
280,1,59,M,2019,1000,
370,2,59,F,2021,661,
268,1,59,F,2019,700,
374,1,61,F,2021,858,
394,1,61,M,2021,305,
400,1,61,M,2021,811,
11,1,61,M,2019,700,
51,1,61,F,2019,700,
290,2,61,M,2019,300,
214,2,61,F,2020,575,
392,1,61,M,2021,951,
35,2,61,M,2019,400,
69,1,71,F,2020,684,
